year;nrElcom;nomEw;link;tarif1;tarif2;tarif3;explText;counterCost;loadCurveCost;nbrPowerCat;power1;energy1;eco1;energyAuto1;ecoAuto1;power2;energy2;eco2;energyAuto2;ecoAuto2;power3;energy3;eco3;energyAuto3;ecoAuto3;power4;htnt;stwt;ecoIncl;autot;energy1_bfe;energy1_ht;energy1_nt;energy1_wht;energy1_wnt;energyAuto1_bfe;energyAuto1_ht;energyAuto1_nt;energyAuto1_wht;energyAuto1_wnt;energy2_bfe;energy2_ht;energy2_nt;energy2_wht;energy2_wnt;energyAuto2_bfe;energyAuto2_ht;energyAuto2_nt;energyAuto2_wht;energyAuto2_wnt;energy3_bfe;energy3_ht;energy3_nt;energy3_wht;energy3_wnt;energyAuto3_bfe;energyAuto3_ht;energyAuto3_nt;energyAuto3_wht;energyAuto3_wnt;ht_mofr_on;ht_mofr_off;ht_sa_on;ht_sa_off;ht_su_on;ht_su_off;neg;neg_text;pos;pos_text;leist;leist_power;leist_tax
2024;659;Provedimaint Electric Val Müstair;https://www.pemenergia.ch/;https://www.pemenergia.ch/kunden/energieprodukte-tarife/netznutzungs-energiepreise/;;;;;;1;0;8;2;8;2;3000;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;204;Elektra-Genossenschaft Arni-Islisberg;https://www.egai.ch/;https://www.egai.ch/einspeiseverguetung.htm;;;;;;1;0;20;0;20;0;3000;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;457;Genossenschaft Elektrizitätswerk Räterschen EWR;https://www.ewraeterschen.ch/;https://www.ewraeterschen.ch/wp-content/uploads/2023/09/Tarifblatt2024_DEF_230831_.pdf;;;;;;1;0;18.2;0;18.2;0;3000;;;;;;;;;;;;;;;;18.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;471;Rhiienergie AG;https://www.rhiienergie.ch/;https://rhiienergie.ch/media/uploads/downloads/36965727/documents/tarifblatt-einspeiseverguetung-eea-2024.pdf;;;;;;2;0;14.5;1;14.5;1;30;14.5;0;14.5;0;3000;;;;;;;;;;;14.5;;;;;;;;;;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;786;WERKE Rheineck;https://www.rheineck.ch;https://www.rheineck.ch/_docn/4675576/Tarifblatt_Rheineck_R%C3%BCcklieferung_2024_1.pdf;;;;;;1;0;16.6;0.3;16.6;0.3;3000;;;;;;;;;;;;;;;;16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;289;Elektrizitätsversorgung Benken SG;https://www.benken.ch;https://www.benken.ch/online-schalter/112345/download;https://www.benken.ch/online-schalter/112351/download;;HKN ist in der Vergütung inbegriffen;;;2;0;15;0;15;0;100;12.86;0;12.86;0;3000;;;;;;;;y;;;15;;;;;;;;;;12.86;10.09;22.13;16.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;200;Elektra Zihlschlacht-Riet;https://www.elektra-zihlschlacht-riet.ch;https://www.elektra-zihlschlacht-riet.ch/app/download/19726178125/Tarife+2024.pdf?t=1714078083;;;;;;1;0;15.7;0;15.7;0;3000;;;;;;;;;;;;;;;;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;650;Politische Gemeinde Herdern;https://www.herdern.ch/verwaltung/werke-herdern/strom.html/90;https://www.herdern.ch/public/upload/assets/1572/2024_Preisblatt_Herdern.pdf?fp=1;;;;;;2;0;16.5;1;16.5;1;30;16.5;0;16.5;0;3000;;;;;;;;;;;16.5;;;;;;;;;;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;76;Energieversorgung Blumenstein AG;https://ev-blumenstein.ch/;https://ev-blumenstein.ch/images/content/dl-tarife/evb-strom-tarife-2024.pdf;;;;;;2;0;19;0;19;0;3000;13.4;0;13.4;0;3000;;;;;;;;;;;19;;;;;;;;;;13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;771;VED Visp Energie Dienste AG;https://www.ved.ch/;https://ved.ch/wp-content/uploads/2023/09/VED-Tarifblaetter-2024.pdf;;;;;;2;0;11.19;2;11.19;2;30;11.19;0;11.19;0;3000;;;;;;;y;;;;9.35;;16.5;;;;;;;;9.35;;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;497;Elektrokorporation Wald-St. Peterzell;https://www.ek-wald.ch/;https://de.cdn-website.com/fb0548bc5ef74c339e406b998cc995e8/files/uploaded/2024%20Strompreise%20EKW-ae04dcca.pdf;;;;;;3;0;9;5;9;5;30;8.2;3.5;8.2;3.5;3000;;0.5;;0.5;3000;;;;;;9;;;;;;;;;;8.2;;;;;;;;;;8.5;7.8;16.75;13.5;;;;;;;;;;;;;;;;;;
